Tên cột gốc (CSV),WMO_Code,Tên trạm,Tỉnh/Thành phố,Vĩ độ (°N),Kinh độ (°E),Cao độ (m)
48800,48800,Lai Châu,Lai Châu,22.067,103.167,244
48803,48803,Sơn La,Sơn La,21.333,103.9,675
48805,48805,Lào Cai,Lào Cai,22.483,103.95,101
48806,48806,Hà Giang,Hà Giang,22.833,104.983,117
48808,48808,Sa Pa,Lào Cai,22.333,103.817,1570
48811,48811,Tuyên Quang,Tuyên Quang,21.817,105.217,35
48812,48812,Yên Bái,Yên Bái,21.7,104.867,56
48818,48818,Bắc Quang,Hà Giang,22.5,104.867,73
48823,48823,Phú Hộ,Phú Thọ,21.433,105.233,52
48825,48825,Hà Nội (Láng),Hà Nội,21.017,105.8,6
48826,48826,Bắc Ninh,Bắc Ninh,21.183,106.067,4
48830,48830,Điện Biên Phủ,Điện Biên,21.367,103.0,470
48833,48833,Mộc Châu,Sơn La,20.833,104.683,1050
48837,48837,Thái Nguyên,Thái Nguyên,21.6,105.817,35
48838,48838,Bắc Giang,Bắc Giang,21.283,106.2,7
48839,48839,Hải Dương,Hải Dương,20.933,106.317,3
48840,48840,Hải Phòng,Hải Phòng,20.817,106.617,6
48842,48842,Nam Định,Nam Định,20.417,106.167,3
48845,48845,Thanh Hóa,Thanh Hóa,19.8,105.783,5
48846,48846,Hồi Xuân,Thanh Hóa,20.367,105.117,53
48848,48848,Tương Dương,Nghệ An,19.283,104.433,110
48852,48852,Đồng Hới,Quảng Bình,17.483,106.6,7
48855,48855,Huế,Thừa Thiên Huế,16.433,107.583,12
48860,48860,Đà Nẵng,Đà Nẵng,16.033,108.2,6
48863,48863,Trà My,Quảng Nam,15.35,108.233,110
48866,48866,Quảng Ngãi,Quảng Ngãi,15.117,108.8,9
48870,48870,Quy Nhơn,Bình Định,13.767,109.217,7
48873,48873,Tuy Hòa,Phú Yên,13.083,109.333,10
48875,48875,Nha Trang,Khánh Hòa,12.25,109.183,5
48877,48877,Đà Lạt,Lâm Đồng,11.95,108.433,1508
48/86,48886,Pleiku,Gia Lai,13.983,108.0,785
48887,48887,Phan Thiết,Bình Thuận,10.933,108.1,9
48889,48889,Vũng Tàu,Bà Rịa - Vũng Tàu,10.367,107.083,4
48890,48890,TP. Hồ Chí Minh,TP. Hồ Chí Minh,10.817,106.667,9
48894,48894,Mỹ Tho,Tiền Giang,10.367,106.367,2
48/96,48896,Buôn Ma Thuột,Đắk Lắk,12.667,108.05,536
48903,48903,Cần Thơ,Cần Thơ,10.033,105.767,2
48907,48907,Châu Đốc,An Giang,10.7,105.117,3
48910,48910,Rạch Giá,Kiên Giang,10.017,105.083,4
48914,48914,Cà Mau,Cà Mau,9.183,105.15,2
48917,48917,Sóc Trăng,Sóc Trăng,9.6,105.967,2
48918,48918,Bạc Liêu,Bạc Liêu,9.283,105.717,2
48920,48920,Côn Đảo,Bà Rịa - Vũng Tàu,8.683,106.617,3
